213	tealfeed.com	https://tealfeed.com/footballmaimeagent	OK	DIRECT	YES - EXISTING PROFILE	OPEN	https://tealfeed.com/signup				2026-08-23 12:56 UTC
214	bandori.party	https://bandori.party/user/1562283/footballmaimeagent/	OK	DIRECT	YES - EXISTING PROFILE	AUTH_REQUIRED	https://bandori.party/signup/	Yes			2026-08-23 12:56 UTC
215	ja.cofacts.tw	https://ja.cofacts.tw/user/footballmaimeagent	BLOCKED	CLOAK_FAILED	BLOCKED	BLOCKED	https://ja.cofacts.tw/signup		Yes	just a moment	2026-08-23 12:56 UTC
216	linqto.me	https://www.linqto.me/about/footballmaimeagent	OK	DIRECT	YES - EXISTING PROFILE	OPEN	https://www.linqto.me/WhyJoin/WhyJoin.aspx				2026-08-23 12:56 UTC
217	Runtrip.Jp	https://runtrip.jp/users/828539	BLOCKED	CLOAK_FAILED	BLOCKED	BLOCKED	https://runtrip.jp/signup		Yes	HTTP 429	2026-08-23 12:56 UTC
218	linkmix.co	https://linkmix.co/58719908	OK	DIRECT	YES - EXISTING PROFILE	STALE	https://linkmix.co/signup				2026-08-23 12:56 UTC
219	Freeicons.Io	https://freeicons.io/profile/971255	BLOCKED	CLOAK_FAILED	BLOCKED	BLOCKED	https://freeicons.io/signup		Yes	just a moment	2026-08-23 12:56 UTC
220	beteiligung.stadtlindau.de	https://beteiligung.stadtlindau.de/profile/footballmaimeagent/	OK	DIRECT	YES - EXISTING PROFILE	AUTH_REQUIRED	https://beteiligung.stadtlindau.de/accounts/signup/?next=/profile/footballmaimeagent/	Yes			2026-08-23 12:56 UTC
221	safechat.com	https://safechat.com/u/footballmaimeagent.com	OK	DIRECT	YES - EXISTING PROFILE	OPEN	https://safechat.com/register				2026-08-23 12:56 UTC
222	doselect.com	https://doselect.com/@a572b6b52d3ae16b422d299b5	OK	DIRECT	YES - EXISTING PROFILE	AUTH_REQUIRED	https://doselect.com/signup	Yes			2026-08-23 12:56 UTC
